3.0.0.0/8|3|6|3 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3]}}, 'med': 0, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '3.0.0.0/8'}]}}}|1701695680.206593
7.0.0.0/8|7|6|7 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [7]}}, 'med': 0, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.12.2': [{'nlri': '7.0.0.0/8'}]}}}|1701695680.3398757
5.0.0.0/8|5|6|5 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [5]}}, 'med': 0, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.10.1': [{'nlri': '5.0.0.0/8'}]}}}|1701695685.350565
4.0.0.0/8|4|6|3 4 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3, 4]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '4.0.0.0/8'}]}}}|1701695747.4884405
1.0.0.0/8|1|6|3 2 1 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3, 2, 1]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '1.0.0.0/8'}]}}}|1701695747.6238232
2.0.0.0/8|2|6|3 2 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3, 2]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '2.0.0.0/8'}]}}}|1701695747.6247418
7.0.0.0/8|7|6|3 2 7 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3, 2, 7]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '7.0.0.0/8'}]}}}|1701695747.6255574
8.0.0.0/8|8|6|3 2 1 8 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3, 2, 1, 8]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '8.0.0.0/8'}]}}}|1701695747.6267612
5.0.0.0/8|5|6|3 4 5 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [3, 4, 5]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.6.1': [{'nlri': '5.0.0.0/8'}]}}}|1701695767.1552637
12.0.0.0/8|12|6|5 12 |exabgp|6|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [5, 12]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.10.1': [{'nlri': '12.0.0.0/8'}]}}}|1701695774.6088684
